entity1,entity2,count
Ferdinand,Kanuni Sultan Süleyman,3
Almanca,Fransızca,3
Boğdan,Lehistan,3
Anadolu,Bağdat,3
Alman,Almanya,3
Kazakistan,Özbekistan,3
Belçika,Polonya,3
Kavalalı,Mahmut,3
Trabzon,Van,3
Kazakistan,Türkmenistan,3
Avusturya,Yugoslavya,3
Üçlü İtilaf,Üçlü İttifak,3
Sevr Antlaşması,İtilaf Devletleri,3
Üçlü İtilaf,İngiltere,3
Türkiye,Yugoslavya,3
ABD,Anadolu,3
Mısır,Türkistan,3
Göktürk,Uygur,3
Rumeli,Çimpe Kalesi,3
Arap Baharı,Orta Doğu,3
Kazakistan,Kırgızistan,3
Devleti,Osmanlı,3
Koyunhisar,İznik,3
Belçika,İngiltere,3
Türkiye,u,3
Mehmet Han,İstanbul,3
Asâkir - i Mansûre - i Muhammediye,Mahmut,3
Jan Zapolya,Macar,3
Hükûmet,İtilaf Devletleri,3
Türkmenistan,Özbekistan,3
Kudüs,Ömer,3
Konya,Malatya,3
Anadolu,İzmir,3
Körfez Savaşı,Türkiye,3
Anadolu,Türk,3
S,İmparatorluğu,3
Mora,Rusya,3
Boğdan,Osmanlı,3
Bursa ' nın Fethi,Edirne ' nin Fethi,3
Misak - ı Millî,İstanbul,3
Mevlana,İbnülarabi,3
Anadolu,Büyük Selçuklu,3
Boğdan,Rusya,3
Asya,Japonya,3
Çanakkale,İstanbul,3
Trakya,İstanbul,3
Doğu Akdeniz,Suriye,3
Papa,Venedik,3
British Museum,Londra,3
Anadolu,Kıbrıs,3
Avusturya,Papalık,3
Japonya,Yugoslavya,3
Avusturya,Erdel,3
Osmanlı Devleti,Selçuklu,3
Anadolu,Ankara Savaşı,3
Mezopotamya,Türkistan,3
Fransa,Lehistan,3
Anadolu,Emîr Timur,3
Adana,Antep,3
Halil İnalcık,Osmanlı Devleti,3
Doğu Akdeniz,Mısır,3
Orta Amerika,Tarım Devrimi,3
Halil İnalcık,Paul Wittek,3
Habsburg,Venedik,3
ABD,Batı Bloku,3
Sadabat Paktı,Türkiye,3
Çekoslovakya,İngiltere,3
Japonya,Türkiye,3
Çekoslovakya,İtalya,3
Amasya,Bursa,3
Edirne Antlaşması,Yunanistan,3
Budin,Kanuni Sultan Süleyman,3
Batum,Gürcistan,3
